"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"1NN","Ningún",1,0.802494493563433,0.611959334565619,0.76073752542673
0,"1NN","Ningún",2,0.804656044128825,0.599815157116451,0.759045256905903
0,"1NN","Ningún",3,0.838996894793827,0.619261311172668,0.740977478128687
0,"1NN","Ningún",4,0.839801124063215,0.619667590027701,0.733612368396751
0,"1NN","Ningún",5,0.815864097195269,0.615452029520295,0.748531564138815
0,"1NN","Ningún",6,0.844092009443449,0.631385041551247,0.730226777499576
0,"1NN","Ningún",7,0.778864522588579,0.581977818853974,0.77637282854951
0,"1NN","Ningún",8,0.801470575367117,0.60460258780037,0.756553458349693
0,"1NN","Ningún",9,0.863332116380152,0.646669741697417,0.719457673152935
0,"1NN","Ningún",10,0.839690067256329,0.630803324099723,0.74284372609494
0,"1NN","Ningún",11,0.806596360929031,0.602079482439926,0.752660786323385
0,"1NN","Ningún",12,0.820587792575222,0.617504621072089,0.748531066214546
0,"1NN","Ningún",13,0.845768348735629,0.61746999076639,0.729879447352939
0,"1NN","Ningún",14,0.858649888683627,0.636350230414747,0.730040616602602
0,"1NN","Ningún",15,0.793327359571994,0.605646950092421,0.767124378082832
0,"1NN","Ningún",16,0.787079706856078,0.590387453874539,0.767991507010932
0,"1NN","Ningún",17,0.861014132884459,0.636528162511542,0.729878326730524
0,"1NN","Ningún",18,0.838807082858151,0.632105263157895,0.736225897013588
0,"1NN","Ningún",19,0.821751994284715,0.62003696857671,0.746084702196672
0,"1NN","Ningún",20,0.824398789506923,0.611025878003697,0.743479040303554
0,"1NN","Ningún",21,0.8095896475451,0.61503696857671,0.752392501582582
0,"1NN","Ningún",22,0.820555354971871,0.610314232902033,0.743388328758187
0,"1NN","Ningún",23,0.843672007441488,0.622622345337027,0.73889858117188
0,"1NN","Ningún",24,0.821097950928177,0.613081180811808,0.748846885385673
0,"1NN","Ningún",25,0.818256597681389,0.615623268698061,0.752856215537593
0,"CART","Ningún",1,0.577231136512832,0.447554721903724,0.876208744760957
0,"CART","Ningún",2,0.58336044619523,0.445897323445576,0.873354756800302
0,"CART","Ningún",3,0.584112027507762,0.441154248962032,0.874452196691642
0,"CART","Ningún",4,0.608288025041876,0.462598861824778,0.860241031319726
0,"CART","Ningún",5,0.574964096692416,0.431155197927061,0.875109533184915
0,"CART","Ningún",6,0.586751064096912,0.440829315672087,0.869645198285754
0,"CART","Ningún",7,0.603388472503826,0.45509297509749,0.865786950495495
0,"CART","Ningún",8,0.582763958751733,0.440119764296217,0.871289548460817
0,"CART","Ningún",9,0.562734708563783,0.434367826848365,0.880807204542155
0,"CART","Ningún",10,0.584581625628243,0.444139217761687,0.875362303542547
0,"CART","Ningún",11,0.581586522409348,0.449349454825836,0.8714094284691
0,"CART","Ningún",12,0.589665031006845,0.44786433293451,0.870149094168555
0,"CART","Ningún",13,0.585887718632872,0.447551300344707,0.870376554406115
0,"CART","Ningún",14,0.597781486382052,0.450655207471657,0.869156813334194
0,"CART","Ningún",15,0.595758606752598,0.448632345196793,0.868671249010695
0,"CART","Ningún",16,0.585793493054202,0.440526698037491,0.871484491407843
0,"CART","Ningún",17,0.571069876095229,0.444759412425782,0.881172386608357
0,"CART","Ningún",18,0.602254579457813,0.457059253818064,0.864022140994888
0,"CART","Ningún",19,0.64139447267587,0.488175497376666,0.84531159571737
0,"CART","Ningún",20,0.579389301441684,0.438985940920101,0.873296355125423
